Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00265;6,06
0,1;-0,0011;6,05
0,201;-0,0007;6,04
0,3;-0,00015;6,03
0,4;-0,00095;6,025
0,5;-0,0015;6,01
0,601;0,0006;6
0,7;-5E-05;5,995
0,8;-0,0009;5,99
0,9;0;5,985
1,001;0,00115;5,98
1,099;-5E-05;5,975
1,2;0,00165;5,98
1,301;0,00285;5,985
1,4;0,0017;5,99
1,5;0,00225;5,995
1,6;0,00235;6,005
1,699;0,00175;6,01
1,8;0,0033;6,025
1,9;0,0026;6,035
2,001;0,00365;6,045
2,1;0,0027;6,055
2,2;0,0031;6,06
2,3;0,00325;6,07
2,401;0,00405;6,085
2,5;0,0029;6,095
2,6;0,00265;6,1
2,7;0,0027;6,105
2,8;0,00185;6,115
2,9;0,0013;6,12
3;0,00185;6,12
3,1;0,0018;6,12
3,2;0,0014;6,12
3,3;0,00165;6,115
3,4;0,00125;6,115
3,5;0,0007;6,11
3,6;0,0008;6,1
3,7;0,00075;6,095
3,8;0,00085;6,09
3,9;0,0009;6,08
4;0,00035;6,07
4,1;0,00045;6,065
4,2;0,0001;6,05
4,3;0,00135;6,04
4,4;0,00115;6,035
4,5;0,0009;6,03
4,601;0,00165;6,025
4,7;0,001;6,015
4,8;0,00145;6,005
4,9;0,0019;6,005
5;0,00185;6
5,1;0,00195;5,995
5,199;0,0012;5,995
5,3;0,00215;5,995
5,4;0,0024;5,99
5,5;0,00295;5,995
5,6;0,00335;6
5,7;0,0039;6,005
5,8;0,00385;6,01
5,9;0,00405;6,02
6;0,00455;6,03
6,1;0,00525;6,045
6,2;0,0061;6,065
6,299;0,00635;6,09
6,399;0,0076;6,125
6,499;0,00945;6,16
6,6;0,01105;6,215
6,7;0,0133;6,275
6,801;0,01585;6,355
6,9;0,01765;6,44
7,001;0,01805;6,54
7,101;0,019;6,645
7,2;0,019;6,745
7,3;0,01905;6,845
7,4;0,01865;6,95
7,5;0,01715;7,04
7,6;0,0151;7,13
7,7;0,0113;7,19
7,8;0,00675;7,23
7,9;0,0021;7,235
8;-0,00235;7,21
8,1;-0,00645;7,16
8,2;-0,00975;7,09
8,3;-0,0122;7
8,4;-0,01355;6,9
8,5;-0,01515;6,79
8,601;-0,016;6,675
8,7;-0,0174;6,55
8,8;-0,0185;6,42
8,9;-0,0178;6,285
9;-0,01715;6,16
9,1;-0,0169;6,035
9,201;-0,01625;5,915
9,301;-0,01555;5,795
9,4;-0,01415;5,69
9,5;-0,01405;5,585
9,6;-0,0142;5,475
9,7;-0,0141;5,37
9,8;-0,01365;5,265
9,899;-0,01275;5,165
9,999;-0,012;5,07
10,1;-0,0121;4,975
10,2;-0,01235;4,885
10,3;-0,01265;4,785
10,4;-0,01255;4,69
10,5;-0,0114;4,6
10,601;-0,0111;4,51
10,7;-0,01005;4,43
10,8;-0,0089;4,355
10,9;-0,00845;4,285
11;-0,00635;4,225
11,101;-0,00555;4,17
11,2;-0,00405;4,125
11,3;-0,00275;4,09
11,401;-0,0016;4,065
11,5;0;4,045
11,6;0,00075;4,035
11,7;0,00105;4,025
11,8;0,0008;4,015
11,901;0,00085;4,01
12;0,0008;4
12,1;0,00065;3,99
12,2;0,0003;3,975
12,3;-0,0003;3,96
12,4;-0,0013;3,94
12,5;-0,0028;3,915
12,601;-0,0041;3,88
12,7;-0,0059;3,83
12,8;-0,00725;3,775
12,9;-0,00865;3,71
13;-0,01045;3,635
13,1;-0,0121;3,545
13,201;-0,01315;3,45
13,301;-0,01275;3,355
13,4;-0,01315;3,26
13,501;-0,01235;3,17
13,6;-0,00985;3,085
13,701;-0,0071;3,02
13,8;-0,00405;2,975
13,9;-0,00025;2,95
14;0,0032;2,95
14,101;0,00595;2,97
14,201;0,00895;3,005
14,3;0,01275;3,065
14,4;0,01615;3,145
14,5;0,0164;3,24
14,6;0,0191;3,345
14,7;0,02115;3,46
14,801;0,0213;3,585
14,9;0,02185;3,71
15;0,022;3,84
15,1;0,02175;3,965
15,201;0,0216;4,09
15,3;0,0208;4,21
15,4;0,0203;4,325
15,5;0,0197;4,44
15,6;0,01965;4,555
15,7;0,01925;4,665
15,8;0,01795;4,765
15,9;0,0163;4,86
16;0,0151;4,95
16,1;0,01395;5,03
16,201;0,01235;5,1
16,299;0,01255;5,17
16,4;0,0108;5,23
16,501;0,00855;5,28
16,599;0,00825;5,325
16,7;0,0061;5,355
16,801;0,00315;5,37
16,9;0,00225;5,38
17;0,00085;5,38
17,1;-0,00055;5,365
17,2;-0,00165;5,35
17,301;-0,0041;5,325
17,399;-0,00355;5,29
17,499;-0,00495;5,25
17,6;-0,0064;5,2
17,7;-0,00715;5,145
17,801;-0,00925;5,09
17,9;-0,0085;5,025
18;-0,00915;4,96
18,099;-0,00985;4,885
18,2;-0,01165;4,805
18,301;-0,0141;4,72
18,4;-0,01245;4,63
18,5;-0,01225;4,54
18,6;-0,0123;4,455
18,7;-0,01165;4,37
18,801;-0,0115;4,29
18,901;-0,012;4,215
19;-0,0098;4,145
19,1;-0,0085;4,085
19,2;-0,00725;4,025
19,3;-0,00595;3,98
19,4;-0,0044;3,945
19,499;-0,00175;3,92
19,6;-0,0002;3,905
19,701;-0,00155;3,89
19,8;5E-05;3,89
19,901;-0,0011;3,89
20;0;3,885
20,1;-0,0006;3,88
20,201;-0,00225;3,87
20,3;-0,00145;3,86
20,4;-0,0019;3,845
20,5;-0,0027;3,83
20,6;-0,0039;3,805
20,7;-0,0041;3,78
20,8;-0,00615;3,745
20,9;-0,00725;3,7
21,001;-0,0085;3,65
21,1;-0,01065;3,585
21,201;-0,0129;3,51
21,3;-0,0126;3,44
21,4;-0,01105;3,36
21,5;-0,0129;3,275
21,601;-0,0127;3,195
21,7;-0,01125;3,125
21,801;-0,0097;3,065
21,9;-0,00455;3,02
22;-0,0031;2,995
22,101;-0,00135;2,99
22,2;0,00235;3
22,301;0,00385;3,025
22,4;0,008;3,075
22,5;0,0108;3,14
22,599;0,01285;3,22
22,699;0,0157;3,31
22,8;0,016;3,405
22,9;0,01765;3,52
23;0,01755;3,635
23,1;0,0182;3,75
23,2;0,01795;3,87
23,3;0,01775;3,985
23,401;0,0166;4,1
23,501;0,0157;4,21
23,6;0,01655;4,32
23,7;0,01565;4,425
23,8;0,01545;4,525
23,9;0,01515;4,625
24;0,01385;4,72
24,1;0,0122;4,805
24,2;0,01035;4,88
24,3;0,00905;4,945
24,399;0,0091;5
24,5;0,0058;5,045
24,6;0,0042;5,08
24,7;0,0022;5,105
24,8;5E-05;5,11
24,9;-0,00175;5,11
25;-0,00325;5,1
25,1;-0,0035;5,075
25,2;-0,00675;5,045
25,301;-0,0096;5
25,4;-0,0101;4,945
25,5;-0,01205;4,88
25,6;-0,01455;4,8
25,7;-0,0184;4,7
25,8;-0,0182;4,59
25,9;-0,02075;4,47
26,001;-0,0232;4,335
26,1;-0,02375;4,2
26,201;-0,02615;4,045
26,3;-0,0256;3,895
26,4;-0,0263;3,735
26,5;-0,0251;3,58
26,599;-0,02215;3,435
26,7;-0,02065;3,305
26,8;-0,01575;3,2
26,9;-0,01055;3,125
27;-0,0052;3,09
27,1;-0,0002;3,085
27,201;0,00395;3,11
27,299;0,01115;3,17
27,401;0,0139;3,26
27,5;0,01675;3,365
27,6;0,02085;3,49
27,7;0,02055;3,63
27,8;0,0211;3,765
27,901;0,0201;3,91
28;0,02015;4,045
28,1;0,01875;4,175
28,2;0,017;4,295
28,3;0,01545;4,405
28,4;0,01395;4,505
28,5;0,01195;4,595
28,6;0,0092;4,67
28,7;0,0064;4,725
28,801;0,002;4,76
28,9;0,00015;4,775
29,001;-0,0031;4,775
29,1;-0,00495;4,765
29,201;-0,00755;4,73
29,3;-0,0104;4,68
29,4;-0,013;4,615
29,501;-0,01635;4,53
29,601;-0,01825;4,435
29,701;-0,02055;4,33
29,8;-0,0218;4,21
29,901;-0,02505;4,065
30,001;-0,02615;3,92
30,1;-0,0275;3,76
30,201;-0,02875;3,595
30,301;-0,02785;3,43
30,4;-0,02545;3,28
30,5;-0,02115;3,15
30,6;-0,0168;3,04
30,7;-0,0115;2,97
30,799;-0,0041;2,935
30,899;0,0021;2,94
31;0,00655;2,98
31,1;0,01165;3,055
31,201;0,01705;3,165
31,3;0,02085;3,295
31,4;0,02315;3,445
31,5;0,02385;3,61
31,6;0,02465;3,775
31,7;0,0255;3,945
31,8;0,0238;4,11
31,901;0,0221;4,27
32;0,02245;4,425
32,1;0,02185;4,58
32,2;0,01995;4,72
32,3;0,0176;4,85
32,4;0,01575;4,97
32,499;0,01575;5,08
32,6;0,01355;5,18
32,7;0,01215;5,275
32,8;0,0104;5,355
32,901;0,00835;5,425
33;0,00655;5,485
33,1;0,00465;5,53
33,201;0,00275;5,57
33,3;0,0015;5,595
33,4;0,0007;5,61
33,5;-0,00155;5,615
33,601;-0,0029;5,615
33,699;-0,00175;5,615
33,8;-0,00295;5,61
33,9;-0,00315;5,605
34,001;-0,0031;5,6
34,1;-0,003;5,595
34,201;-0,00265;5,59
34,3;-0,0022;5,59
34,4;-0,00135;5,595
34,5;-0,0009;5,6
34,6;-0,00045;5,615
34,7;0,0001;5,625
34,799;0,0016;5,645
34,9;0,0025;5,67
35;0,0029;5,7
35,1;0,0046;5,74
35,2;0,0074;5,79
35,3;0,0087;5,855
35,401;0,0106;5,935
35,5;0,0138;6,03
35,6;0,01605;6,14
35,7;0,0183;6,265
35,801;0,0197;6,405
35,899;0,0211;6,545
36;0,0197;6,69
36,101;0,019;6,83
36,2;0,01835;6,965
36,3;0,0158;7,085
36,4;0,01035;7,185
36,5;0,00455;7,245
36,6;-0,001;7,265
36,7;-0,0068;7,25
36,8;-0,0132;7,2
36,9;-0,01805;7,11
37;-0,0215;7
37,099;-0,0227;6,875
37,2;-0,0253;6,73
37,3;-0,0274;6,58
37,399;-0,02785;6,42
37,499;-0,02725;6,26
37,6;-0,02715;6,1
37,7;-0,02715;5,935
37,8;-0,02555;5,79
37,9;-0,0249;5,645
38,001;-0,02525;5,505
38,1;-0,0253;5,36
38,2;-0,02415;5,22
38,301;-0,02345;5,085
38,4;-0,0233;4,96
38,5;-0,0244;4,825
38,6;-0,0245;4,685
38,7;-0,02375;4,555
38,8;-0,02325;4,42
38,9;-0,0227;4,295
39;-0,0223;4,165
39,1;-0,0208;4,05
39,2;-0,02;3,93
39,3;-0,01785;3,83
39,4;-0,01625;3,74
39,5;-0,0137;3,665
39,6;-0,0102;3,61
39,7;-0,0076;3,57
39,8;-0,0048;3,55
39,9;-0,00225;3,545
40;-0,00025;3,555
40,1;0,00125;3,58
40,2;0,0025;3,61
40,3;0,0025;3,645
40,401;0,0024;3,675
40,5;0,0019;3,705
40,6;0,0016;3,735
40,7;-0,00045;3,755
40,8;-0,00205;3,76
40,899;-0,00255;3,76
41;-0,00505;3,75
41,099;-0,00615;3,73
41,2;-0,0083;3,695
41,3;-0,00965;3,655
41,4;-0,0117;3,605
41,5;-0,01345;3,54
41,6;-0,0144;3,465
41,7;-0,01485;3,39
41,8;-0,01465;3,315
41,901;-0,0149;3,235
42,001;-0,0142;3,16
42,1;-0,01205;3,1
42,201;-0,00935;3,05
42,3;-0,0065;3,02
42,401;-0,0036;3,005
42,5;-0,0009;3,015
42,601;0,0018;3,035
42,7;0,0049;3,075
42,801;0,0077;3,135
42,9;0,0099;3,215
43;0,0115;3,305
43,1;0,0133;3,4
43,2;0,01515;3,51
43,3;0,01515;3,62
43,399;0,0163;3,74
43,499;0,0165;3,855
43,6;0,0162;3,975
43,701;0,01565;4,09
43,8;0,01475;4,205
43,9;0,01435;4,315
44;0,01355;4,42
44,101;0,0133;4,52
44,2;0,0129;4,625
44,3;0,0115;4,715
44,4;0,01005;4,8
44,5;0,0082;4,875
44,6;0,00675;4,94
44,699;0,0059;4,995
44,8;0,00335;5,035
44,9;0,0016;5,07
45;-0,0003;5,09
45,1;-0,0024;5,095
45,199;-0,0037;5,095
45,3;-0,0059;5,075
45,4;-0,007;5,055
45,499;-0,0088;5,02
45,599;-0,0105;4,975
45,7;-0,01245;4,915
45,8;-0,0146;4,845
45,9;-0,0175;4,76
46;-0,0199;4,655
46,099;-0,0211;4,545
46,2;-0,02315;4,42
46,301;-0,02505;4,28
46,4;-0,0264;4,14
46,5;-0,0275;3,985
46,6;-0,02795;3,825
46,701;-0,0281;3,66
46,799;-0,02615;3,515
46,9;-0,02485;3,365
47,001;-0,02095;3,235
47,101;-0,0157;3,145
47,2;-0,0104;3,085
47,301;-0,00485;3,055
47,4;-5E-05;3,06
47,5;0,00515;3,1
47,6;0,0105;3,175
47,7;0,01365;3,27
47,8;0,0168;3,39
47,901;0,0194;3,525
48;0,02005;3,67
48,1;0,0204;3,815
48,201;0,0202;3,96
48,3;0,019;4,105
48,4;0,0179;4,235
48,499;0,01615;4,355
48,599;0,015;4,47
48,7;0,0136;4,58
48,801;0,0114;4,675
48,9;0,00835;4,75
49;0,0055;4,81
49,099;0,0026;4,85
49,199;-0,0001;4,875
49,3;-0,00245;4,88
49,402;-0,00435;4,87
49,5;-0,00705;4,855
49,6;-0,0092;4,815
49,7;-0,01165;4,765
49,801;-0,0144;4,695
49,9;-0,01715;4,61
49,999;-0,01905;4,51
50,1;-0,02115;4,4
50,2;-0,0233;4,27
50,3;-0,0252;4,135
50,4;-0,0267;3,985
50,5;-0,0278;3,825
50,601;-0,02865;3,66
50,7;-0,02755;3,5
50,8;-0,0267;3,345
50,9;-0,0229;3,205
50,999;-0,01875;3,1
51,101;-0,01275;3,015
51,2;-0,00705;2,975
51,3;-0,00055;2,97
51,401;0,00465;3,005
51,5;0,0096;3,07
51,6;0,01505;3,17
51,7;0,0179;3,29
51,799;0,02095;3,435
51,9;0,0226;3,59
52;0,0234;3,75
52,099;0,02285;3,91
52,2;0,02255;4,075
52,3;0,0219;4,23
52,401;0,021;4,38
52,5;0,0203;4,52
52,6;0,01845;4,66
52,701;0,0164;4,785
52,801;0,0144;4,89
52,9;0,0121;4,99
53;0,01045;5,07
53,1;0,009;5,15
53,2;0,00695;5,215
53,3;0,0049;5,265
53,4;0,0024;5,3
53,501;0,00025;5,325
53,6;-0,0018;5,33
53,7;-0,0034;5,325
53,8;-0,0049;5,315
53,9;-0,0063;5,29
54;-0,00775;5,26
54,1;-0,00905;5,22
54,2;-0,01;5,175
54,3;-0,01065;5,12
54,4;-0,0118;5,065
54,501;-0,01225;5,005
54,6;-0,01365;4,935
54,7;-0,0145;4,86
54,8;-0,0159;4,775
54,9;-0,01655;4,685
55;-0,01655;4,595
55,099;-0,0164;4,51
55,201;-0,0159;4,415
55,301;-0,0158;4,335
55,4;-0,0148;4,25
55,499;-0,0147;4,17
55,6;-0,0135;4,095
55,701;-0,01185;4,025
55,8;-0,0109;3,97
55,9;-0,0093;3,92
56;-0,00685;3,885
56,101;-0,005;3,86
56,2;-0,00385;3,85
56,3;-0,0032;3,84
56,4;-0,0028;3,835
56,5;-0,0026;3,83
56,6;-0,00225;3,83
56,7;-0,0023;3,83
56,8;-0,003;3,825
56,901;-0,0038;3,815
57;-0,00415;3,8
57,1;-0,00445;3,785
57,201;-0,0054;3,77
57,3;-0,0068;3,74
57,4;-0,00775;3,705
57,501;-0,00865;3,665
57,6;-0,0104;3,615
57,7;-0,0121;3,555
57,8;-0,01305;3,485
57,9;-0,0138;3,415
58;-0,0139;3,34
58,1;-0,01395;3,265
58,201;-0,0134;3,19
58,301;-0,01195;3,12
58,4;-0,00995;3,065
58,5;-0,00725;3,025
58,6;-0,00435;3,005
58,7;-0,00165;3
58,801;0,00145;3,01
58,9;0,0035;3,035
59;0,00655;3,08
59,1;0,00905;3,145
59,199;0,01065;3,225
59,3;0,01235;3,31
59,4;0,01415;3,41
59,501;0,0157;3,515
59,6;0,01565;3,625
59,7;0,016;3,735
59,8;0,0164;3,85
59,9;0,0165;3,965
60,001;0,0177;4,08
60,1;0,01525;4,185
60,199;0,01475;4,295
60,299;0,0139;4,395
60,4;0,01395;4,495
60,5;0,01365;4,59
60,601;0,01425;4,685
60,701;0,0129;4,77
60,8;0,0097;4,84
60,9;0,00805;4,905
60,999;0,0059;4,955
61,1;0,00555;5
61,2;0,00325;5,03
61,3;0,00125;5,05
61,401;0,00085;5,055
61,5;-0,00185;5,05
61,6;-0,00365;5,035
61,701;-0,0055;5,005
61,799;-0,00835;4,97
61,9;-0,00855;4,92
62,001;-0,00935;4,86
62,101;-0,0119;4,785
62,199;-0,0175;4,695
62,3;-0,01955;4,585
62,4;-0,01955;4,465
62,5;-0,0212;4,335
62,6;-0,02285;4,195
62,701;-0,0235;4,035
62,8;-0,0232;3,88
62,9;-0,0263;3,715
63,001;-0,0242;3,55
63,1;-0,0239;3,39
63,2;-0,0207;3,25
63,3;-0,0156;3,135
63,4;-0,01065;3,05
63,5;-0,0046;3,005
63,6;0,00175;3
63,699;0,00535;3,025
63,8;0,01235;3,085
63,9;0,0176;3,18
64;0,02045;3,295
64,1;0,0239;3,435
64,199;0,0241;3,585
64,3;0,0249;3,74
64,4;0,02485;3,9
64,501;0,0255;4,06
64,6;0,0246;4,21
64,7;0,0243;4,35
64,801;0,0237;4,49
64,9;0,0215;4,62
65,001;0,0199;4,74
65,1;0,0165;4,84
65,2;0,0149;4,925
65,301;0,01245;5
65,4;0,0102;5,06
65,5;0,009;5,11
65,6;0,0059;5,14
65,701;0,00425;5,16
65,801;0,0019;5,16
65,9;-0,0007;5,145
66;-0,0023;5,125
66,1;-0,00395;5,085
66,2;-0,0056;5,045
66,3;-0,00725;4,99
66,399;-0,0098;4,925
66,499;-0,0117;4,85
66,599;-0,0144;4,76
66,7;-0,01535;4,65
66,8;-0,0162;4,54
66,901;-0,01675;4,415
67;-0,0185;4,29
67,1;-0,01915;4,155
67,2;-0,0197;4,02
67,3;-0,01915;3,88
67,4;-0,0191;3,745
67,5;-0,0173;3,61
67,6;-0,01445;3,5
67,7;-0,01145;3,405
67,8;-0,00775;3,33
67,9;-0,0038;3,285
68;0,00155;3,265
68,1;0,00605;3,28
68,201;0,00935;3,315
68,3;0,01205;3,37
68,4;0,01505;3,44
68,5;0,0176;3,53
68,6;0,0182;3,625
68,7;0,0188;3,725
68,8;0,01895;3,83
68,9;0,018;3,925
69,001;0,0166;4,02
69,1;0,01525;4,1
69,2;0,01295;4,17
69,3;0,0104;4,225
69,4;0,0079;4,26
69,5;0,0049;4,285
69,6;0,002;4,285
69,7;-0,00055;4,27
69,8;-0,0031;4,235
69,901;-0,00585;4,195
70;-0,00795;4,125
70,1;-0,01105;4,045
70,2;-0,0136;3,95
70,3;-0,01595;3,835
70,401;-0,018;3,71
70,501;-0,0195;3,57
70,6;-0,0192;3,43
70,7;-0,01975;3,29
70,8;-0,01735;3,155
70,901;-0,0146;3,04
71;-0,01035;2,945
71,101;-0,0055;2,885
71,2;0,00055;2,86
71,301;0,00585;2,865
71,4;0,0114;2,91
71,5;0,0152;2,98
71,6;0,02015;3,075
71,7;0,02325;3,205
71,8;0,02565;3,34
71,9;0,02755;3,495
72;0,02795;3,655
72,101;0,028;3,82
72,2;0,02785;3,98
72,3;0,0269;4,14
72,4;0,02635;4,29
72,5;0,02615;4,44
72,6;0,02625;4,59
72,7;0,0249;4,73
72,8;0,02295;4,865
72,9;0,0219;4,99
73;0,02185;5,11
73,1;0,02165;5,235
73,2;0,02075;5,35
73,3;0,0195;5,46
73,401;0,0179;5,565
73,501;0,0175;5,66
73,6;0,0172;5,755
73,701;0,01675;5,845
73,8;0,0164;5,93
73,901;0,01445;6,015
74;0,01325;6,085
74,099;0,01255;6,15
74,2;0,01085;6,21
74,3;0,0093;6,255
74,4;0,0074;6,29
74,5;0,00545;6,315
74,6;0,004;6,33
74,701;0,0026;6,335
74,8;0,0024;6,335
74,9;0,0024;6,335
75,001;0,0023;6,34
75,1;0,00285;6,34
75,2;0,0033;6,345
75,3;0,0035;6,355
75,4;0,00465;6,365
75,5;0,0049;6,38
75,6;0,0055;6,4
75,7;0,00655;6,425
75,8;0,0078;6,455
75,901;0,00895;6,5
76;0,01025;6,545
76,1;0,0105;6,595
76,2;0,0115;6,65
76,301;0,01245;6,715
76,4;0,01235;6,78
76,501;0,01185;6,845
76,6;0,0121;6,905
76,7;0,01125;6,965
76,8;0,0097;7,015
76,9;0,00745;7,055
77;0,0047;7,08
77,099;0,00215;7,085
77,201;-0,00085;7,07
77,3;-0,0031;7,045
77,4;-0,00525;7,005
77,5;-0,00735;6,95
77,601;-0,00905;6,88
77,699;-0,0099;6,81
77,8;-0,01165;6,725
77,899;-0,0118;6,64
77,999;-0,01325;6,545
78,1;-0,0145;6,44
78,2;-0,0148;6,33
78,301;-0,01405;6,23
78,401;-0,0141;6,13
78,5;-0,0136;6,025
78,6;-0,0131;5,935
78,7;-0,01245;5,84
78,801;-0,01125;5,75
78,9;-0,0103;5,67
79;-0,00945;5,6
79,1;-0,0092;5,53
79,2;-0,00895;5,46
79,301;-0,0083;5,395
79,4;-0,00725;5,335
79,5;-0,00595;5,28
79,6;-0,0047;5,235
79,7;-0,0032;5,2
79,801;-0,0025;5,175
79,9;-0,00025;5,155
80;0,0012;5,15
80,1;0,00225;5,15
80,2;0,00295;5,155
80,3;0,0043;5,17
80,4;0,0052;5,19
80,501;0,00505;5,215
80,601;0,0065;5,25
80,7;0,00895;5,295
80,8;0,0099;5,34
80,9;0,0114;5,4
81;0,0121;5,465
81,1;0,01265;5,535
81,201;0,0111;5,605
81,301;0,0119;5,68
81,4;0,0141;5,76
81,501;0,01225;5,845
81,601;0,0138;5,93
81,7;0,01495;6,02
81,8;0,01425;6,105
81,901;0,01285;6,19
82,001;0,0135;6,275
82,1;0,0121;6,35
82,2;0,0099;6,41
82,3;0,00715;6,46
82,4;0,0046;6,49
82,501;0,00115;6,51
82,599;0,00195;6,515
82,699;0,0006;6,51
82,8;-0,0027;6,5
82,899;-0,00215;6,48
83;-0,0046;6,45
83,1;-0,00495;6,42
83,2;-0,0049;6,39
83,3;-0,0044;6,365
83,4;-0,0035;6,34
83,501;-0,00325;6,325
83,6;-0,00075;6,32
83,7;0,0007;6,325
83,8;0,00195;6,335
83,901;0,00355;6,36
84;0,00515;6,395
84,1;0,00675;6,435
84,2;0,00835;6,49
84,3;0,0091;6,555
84,4;0,00985;6,62
84,5;0,0112;6,69
84,6;0,011;6,77
84,7;0,01075;6,845
84,8;0,0105;6,915
84,9;0,00955;6,99
85;0,0078;7,05
85,1;0,00535;7,1
85,2;0,00185;7,125
85,3;-0,00255;7,135
85,401;-0,0058;7,115
85,499;-0,0065;7,085
85,6;-0,01045;7,035
85,7;-0,01295;6,97
85,801;-0,0151;6,89
85,9;-0,01595;6,81
86;-0,01725;6,71
86,1;-0,017;6,615
86,201;-0,0203;6,5
86,3;-0,0203;6,39
86,4;-0,01975;6,275
86,5;-0,0193;6,165
86,6;-0,0191;6,055
86,701;-0,01945;5,95
86,799;-0,01715;5,855
86,9;-0,01685;5,755
87;-0,01615;5,665
87,1;-0,0158;5,58
87,2;-0,0158;5,495
87,3;-0,0153;5,415
87,4;-0,01495;5,33
87,5;-0,014;5,255
87,6;-0,01265;5,19
87,7;-0,01195;5,13
87,801;-0,011;5,075
87,901;-0,0097;5,025
88;-0,00875;4,985
88,101;-0,0083;4,95
88,2;-0,0066;4,92
88,3;-0,00545;4,9
88,4;-0,00395;4,89
88,5;-0,00285;4,885
88,599;-0,00185;4,89
88,7;-0,00185;4,895
88,8;-0,0009;4,905
88,901;-0,00015;4,92
89;-0,00045;4,935
89,1;-0,0005;4,95
89,201;-0,0006;4,965
89,3;-0,00095;4,98
89,401;-0,0011;4,99
89,5;-0,00195;4,995
89,601;-0,00275;4,995
89,7;-0,00375;4,99
89,8;-0,0046;4,985
89,9;-0,00545;4,965
90;-0,0064;4,945
90,1;-0,00735;4,92
90,2;-0,00905;4,88
90,3;-0,0107;4,835
90,4;-0,01295;4,775
90,5;-0,0156;4,7
90,6;-0,0179;4,61
90,7;-0,01955;4,505
90,801;-0,0218;4,39
90,9;-0,02415;4,265
91,001;-0,0258;4,12
91,099;-0,0281;3,965
91,2;-0,02935;3,795
91,3;-0,0304;3,625
91,401;-0,0295;3,455
91,5;-0,02825;3,285
91,6;-0,02425;3,14
91,7;-0,02;3,02
91,8;-0,0143;2,93
91,9;-0,0075;2,885
92;-0,00085;2,88
92,1;0,0058;2,915
92,201;0,01085;2,99
92,301;0,01645;3,095
92,401;0,0201;3,23
92,501;0,0236;3,385
92,601;0,025;3,555
92,7;0,0257;3,73
92,8;0,02585;3,91
92,9;0,02515;4,085
93;0,0243;4,255
93,101;0,0244;4,425
93,2;0,0237;4,59
93,3;0,02185;4,745
93,401;0,0203;4,895
93,5;0,0188;5,025
93,601;0,0186;5,16
93,7;0,01775;5,29
93,8;0,0161;5,41
93,9;0,01425;5,52
94;0,01325;5,62
